symbol	score	entrez
ATP6V0A2	4.0	23545.0
HECTD4	3.0	283450.0
AGO4	3.0	192670.0
ASH1L	1.0	55870.0
CEP135	3.0	9662.0
CEP290	4.0	80184.0
CLASP1	3.0	23332.0
DIP2A	3.0	23181.0
EMSY	3.0	56946.0
EXOC6B	4.0	23233.0
FRK	4.0	2444.0
MBD5	3.0	55777.0
MBD6	4.0	114785.0
MECP2	2.0	4204.0
MSANTD2	4.0	79684.0
NIPA1	4.0	123606.0
PAPOLG	4.0	64895.0
PER2	3.0	8864.0
SLC22A15	4.0	55356.0
SLC25A27	4.0	9481.0
UBN2	2.0	254048.0
ZNF385B	4.0	151126.0
ZNF548	4.0	147694.0
ADNP	1.0	23394.0
AKAP9	3.0	10142.0
ARHGAP5	4.0	394.0
AGO3	4.0	192669.0
ATRX	4.0	546.0
BAZ2B	2.0	29994.0
BBS4	4.0	585.0
BIRC6	4.0	57448.0
BTAF1	3.0	9044.0
CASC4	4.0	113201.0
CCDC91	4.0	55297.0
CHD1	4.0	1105.0
CHD2	1.0	1106.0
CUL3	1.0	8452.0
DDX3X	2.0	1654.0
CPEB4	3.0	80315.0
DLG1	4.0	1739.0
DMXL2	4.0	23312.0
DYRK1A	1.0	1859.0
EFR3A	3.0	23167.0
EP300	4.0	2033.0
EPC2	4.0	26122.0
ERBIN	2.0	55914.0
FAN1	4.0	22909.0
FBXO33	4.0	254170.0
EXOC5	4.0	10640.0
EXOC6	4.0	54536.0
FBXO11	4.0	80204.0
GGNBP2	3.0	79893.0
GIGYF2	2.0	26058.0
HNRNPH2	4.0	3188.0
INTS6	2.0	26512.0
JARID2	3.0	3720.0
JMJD1C	4.0	221037.0
KAT2B	2.0	8850.0
KAT6A	3.0	7994.0
KDM5B	2.0	10765.0
KDM6A	2.0	7403.0
KDM4C	3.0	23081.0
KMT2A	1.0	4297.0
KMT2C	2.0	58508.0
KMT2E	3.0	55904.0
KMT5B	1.0	51111.0
LRBA	4.0	987.0
MED13	2.0	9969.0
MED13L	2.0	23389.0
MIB1	4.0	57534.0
NCKAP1	2.0	10787.0
NCOR1	2.0	9611.0
NDUFA5	4.0	4698.0
OFD1	4.0	8481.0
PAK2	3.0	5062.0
PHF3	2.0	23469.0
PHIP	3.0	55023.0
POGZ	1.0	23126.0
PPM1D	4.0	8493.0
PRPF39	4.0	55015.0
PTBP2	4.0	58155.0
PTEN	1.0	5728.0
PHF21A	4.0	51317.0
PPFIA1	4.0	8500.0
RALGAPB	3.0	57148.0
RBM27	3.0	54439.0
REEP3	4.0	221035.0
RNF38	4.0	152006.0
RPS6KA3	4.0	6197.0
SETD2	3.0	29072.0
SETDB2	4.0	83852.0
SF3B1	4.0	23451.0
SMAD4	3.0	4089.0
SPAST	2.0	6683.0
SRSF11	2.0	9295.0
STXBP5	3.0	134957.0
SPEN	3.0	23013.0
SYNJ1	4.0	8867.0
TBL1XR1	2.0	79718.0
TET2	3.0	54790.0
TLK2	4.0	11011.0
TNRC6B	2.0	23112.0
TRIM33	4.0	51592.0
TRIP12	1.0	9320.0
TRRAP	4.0	8295.0
UBR5	3.0	51366.0
USP15	2.0	9958.0
WAC	2.0	51322.0
WDFY3	2.0	23001.0
YTHDC2	4.0	64848.0
ZMYND11	3.0	10771.0
ZNF292	4.0	23036.0
ZNF559	4.0	84527.0
