symbol	score	entrez
ADK	4.0	132.0
ASPM	3.0	259266.0
BRCA2	4.0	675.0
ATP1A1	4.0	476.0
CAPRIN1	3.0	4076.0
CCT4	3.0	10575.0
CEP41	2.0	95681.0
CCNG1	3.0	900.0
CPT2	4.0	1376.0
CTCF	3.0	10664.0
DENR	3.0	8562.0
EIF4E	4.0	1977.0
ETFB	3.0	2109.0
FABP5	4.0	2171.0
EXOC5	4.0	10640.0
EXOC6	4.0	54536.0
GLO1	4.0	2739.0
GPD2	4.0	2820.0
HMGN1	3.0	3150.0
HNRNPU	4.0	3192.0
ILF2	2.0	3608.0
KATNAL1	4.0	84056.0
KIF14	3.0	9928.0
LEO1	2.0	123169.0
MCM4	4.0	4173.0
MCM6	4.0	4175.0
KRR1	4.0	11103.0
NAA15	1.0	80155.0
NIPA2	4.0	81614.0
NDUFA5	4.0	4698.0
NUP133	4.0	55746.0
NUDCD2	3.0	134492.0
POLA2	4.0	23649.0
POT1	4.0	25913.0
PPP2R1B	4.0	5519.0
PRKDC	4.0	5591.0
PTPN11	4.0	5781.0
RAB2A	3.0	5862.0
PEX7	4.0	5191.0
PHB	3.0	5245.0
REEP3	4.0	221035.0
SAE1	3.0	10055.0
SCFD2	4.0	152579.0
SCP2	4.0	6342.0
SET	2.0	6418.0
SLC25A39	4.0	51629.0
SMARCA4	3.0	6597.0
SMC3	4.0	9126.0
SSRP1	4.0	6749.0
SLC25A12	4.0	8604.0
SNX5	3.0	27131.0
SYAP1	4.0	94056.0
SYNCRIP	4.0	10492.0
SLC35B1	3.0	10237.0
SOD1	4.0	6647.0
STK39	4.0	27347.0
TBC1D31	3.0	93594.0
UBE3C	3.0	9690.0
UPF3B	2.0	65109.0
USP45	3.0	85015.0
XPO1	4.0	7514.0
YWHAE	4.0	7531.0
YEATS2	4.0	55689.0
ZWILCH	4.0	55055.0
