symbol	score	entrez
ABCA7	4.0	10347.0
AHDC1	3.0	27245.0
ANKRD11	2.0	29123.0
APBA2	4.0	321.0
ARID1B	1.0	57492.0
CACNA1I	4.0	8911.0
CARD11	4.0	84433.0
CC2D1A	3.0	54862.0
CDC42BPB	3.0	9578.0
CACNA2D1	4.0	781.0
CHD3	4.0	1107.0
CHMP1A	3.0	5119.0
CIB2	3.0	10518.0
CIC	2.0	23152.0
CNOT3	2.0	4849.0
CUL7	3.0	9820.0
EHMT1	3.0	79813.0
ESR2	4.0	2100.0
GIGYF1	3.0	64599.0
GNB1L	4.0	54584.0
KCTD13	4.0	253980.0
KDM5C	3.0	8242.0
KDM6B	3.0	23135.0
KLF16	4.0	83855.0
LIN7B	4.0	64130.0
LZTR1	3.0	8216.0
MAPK3	4.0	5595.0
LZTS2	4.0	84445.0
NACC1	4.0	112939.0
NR1D1	4.0	9572.0
MNT	4.0	4335.0
OXT	4.0	5020.0
PHRF1	3.0	57661.0
PITX1	4.0	5307.0
PLXNA3	4.0	55558.0
POMT1	4.0	10585.0
RAB11FIP5	4.0	26056.0
PDK2	4.0	5164.0
SBF1	3.0	6305.0
SCN2A	1.0	6326.0
SCN4A	4.0	6329.0
SGSM3	4.0	27352.0
SLC12A5	3.0	57468.0
SLC27A4	4.0	10999.0
SLC29A4	4.0	222962.0
SRCAP	2.0	10847.0
TAF1C	4.0	9013.0
TAOK2	2.0	9344.0
TCF20	2.0	6942.0
TRAPPC9	3.0	83696.0
TSPOAP1	4.0	9256.0
THRA	4.0	7067.0
TRAF7	4.0	84231.0
